Fox,1.13
Falco,2.38
Marth,3.04
Sheik,3.92
Jigglypuff,5.42
Peach,5.83
Ice Climbers,7.33
Captain Falcon,7.54
Pikachu,9.33
Samus,10.04
Dr. Mario,11.88
Yoshi,11.96
Luigi,12.08
Ganondorf,13.88
Mario,15.00
Young Link,16.08
Donkey Kong,17.17
Link,17.83
Mr. Game & Watch,20.33
Roy,20.88
Mewtwo,21.04
Zelda,21.75
Ness,22.17
Pichu,23.88
Bowser,23.96
Kirby,25.17
